지점,3시간전 수위,현재 수위,해발표고
예천군(상풍교),1.18,1.18,46.96
예천군(신예천교),1.54,1.53,80.54
예천군(신음리),1.64,1.64,60.08
예천군(회룡교),1.27,1.27,54.07
의령군(공단교),2.76,2.77,11.56
의령군(대곡교),1.33,1.33,8.09
의령군(박진교),10.13,10.12,4.94
의령군(성산리),1.81,1.81,4.90
의령군(세간교),1.51,1.51,22.40
의령군(정암교),0.27,0.29,6.33
의성군(구미교),2.19,2.19,57.20
의성군(낙단교),5.52,5.51,32.66
의성군(낙단보상),39.73,39.73,39.73
의성군(덕은교),3.32,3.31,61.48
의성군(동부교),2.52,2.51,50.80
의성군(비안교),1.68,1.67,46.48
의성군(위중리),2.11,2.09,40.99
의성군(장송교),1.63,1.67,46.92
의성군(풍지교),2.23,2.23,53.55
진주시(남강댐방수로)(*),19.84,21.02,21.02
진주시(내평리)(*),39.89,39.88,68.38
진주시(덕오리),1.53,1.47,13.58
진주시(덕천교),1.61,1.61,42.73
진주시(옥산교),1.68,1.68,18.11
진주시(월강교),0.47,0.40,11.13
진주시(장대동)(*),1.28,1.28,19.58
진주시(장박교),2.18,2.15,6.86
창녕군(강리),1.01,1.01,9.80
창녕군(유어교),1.90,1.90,5.46
창녕군(창녕함안보상),4.95,4.95,4.95
창녕군(청암리),4.82,4.75,0.74
창원시(수산대교),1.16,1.10,0.58
청도군(매전교)(*),2.31,2.31,76.78
청도군(신원교)(*),0.08,0.08,0.08
청도군(운문댐)(*),147.68,147.68,147.68
청도군(원리),0.42,0.42,53.69
청도군(임당리)(*),-0.10,-0.10,101.24
청송군(광덕교)(*),1.91,1.91,160.30
청송군(덕천교)(*),0.00,0.00,172.45
청송군(명당리)(*),0.33,0.33,274.16
청송군(성덕댐)(*),359.49,359.48,691.48
청송군(송강2교)(*),2.16,2.14,159.31
칠곡군(칠곡보상),25.59,25.58,25.58
칠곡군(칠곡보하),18.37,18.36,18.36
칠곡군(호국의다리),5.28,5.27,18.39
태백시(루사교)(*),1.18,1.18,519.96
태백시(문화교),1.07,1.07,551.46
포항시(논골교)(*),0.44,0.44,182.35
포항시(상사4교)(*),0.45,0.45,347.20
하동군(대곡리)(*),0.51,0.51,52.37
함안군(계내리),3.00,3.00,4.90
함안군(대사교),1.45,1.44,21.90
함안군(서촌리),1.88,1.88,4.92
함안군(소랑교),5.06,5.05,4.88
함안군(송도교),5.10,5.10,5.00
함안군(창녕함안보하),0.74,0.67,0.67
함양군(금천리)(*),0.81,0.81,186.98
함양군(대웅교)(*),1.17,1.17,129.30
함양군(안의교),0.82,0.82,190.18
함양군(용평리)(*),1.08,1.08,154.44
함양군(의탄리)(*),2.83,2.83,246.83
함양군(화촌리)(*),0.57,0.56,123.29
합천군(구정리),1.23,1.22,102.38
합천군(기리교),1.73,1.77,17.37
합천군(남정교),1.08,1.08,30.83
합천군(소오리)(*),0.91,0.90,81.94
합천군(술곡교)(*),0.48,0.48,163.73
합천군(율지교),5.17,5.17,9.32
합천군(적포교),4.42,4.42,4.99
합천군(합천댐)(*),164.85,164.81,164.81
합천군(합천댐방수로)(*),52.99,53.02,53.02
합천군(합천조정지댐)(*),50.74,50.74,50.74
합천군(합천조정지방수로)(*),47.52,47.52,47.52
합천군(합천창녕보상),9.32,9.31,9.31
합천군(합천창녕보하),4.98,4.98,4.98
합천군(황강교),1.74,1.97,10.26
